class,precision,recall,f1,mAP50,mAP50-95
all,0.7046,0.4678,0.5623,0.5397,0.35
Excavator,0.6134,0.5833,0.598,0.6115,0.4423
Gloves,0.4875,0.24,0.3217,0.2563,0.121
Hardhat,0.862,0.7114,0.7795,0.7631,0.5333
Ladder,0.5594,0.6369,0.5957,0.6037,0.3842
Mask,0.9367,0.8095,0.8685,0.8374,0.5255
NO-Hardhat,0.755,0.4928,0.5963,0.5469,0.2707
NO-Mask,0.6927,0.3919,0.5006,0.4218,0.14
NO-Safety Vest,0.7964,0.5165,0.6266,0.6026,0.3257
Person,0.8361,0.6761,0.7477,0.7752,0.5116
Safety Cone,0.7504,0.7955,0.7723,0.8093,0.4453
Safety Vest,0.7774,0.6098,0.6834,0.7131,0.4331
dump truck,0.5994,0.4615,0.5215,0.6114,0.3903
machinery,0.7858,0.5,0.6111,0.5691,0.3855
mini-van,1.0,0.0,0.0,0.0,0.0
sedan,1.0,0.1323,0.2337,0.2203,0.1435
trailer,0.4076,1.0,0.5791,0.995,0.8955
truck and trailer,0.2663,0.25,0.2579,0.1336,0.118
truck,1.0,0.0,0.0,0.555,0.2887
van,0.6094,0.3333,0.431,0.555,0.3997
vehicle,0.3221,0.1667,0.2197,0.1986,0.1648
wheel loader,0.739,0.5155,0.6074,0.5542,0.4318

# Inference speed (CPU, averaged over 20 test images): 46.45 ms/image, 21.53 FPS
