class,precision_baseline,recall_baseline,f1_baseline,mAP50_baseline,mAP50-95_baseline,precision_no_aug,recall_no_aug,f1_no_aug,mAP50_no_aug,mAP50-95_no_aug,precision_improved,recall_improved,f1_improved,mAP50_improved,mAP50-95_improved,mAP50_delta_vs_baseline,mAP50-95_delta_vs_baseline,mAP50_delta_vs_no_aug
all,0.5044,0.4616,0.4821,0.4458,0.304,0.6993,0.4372,0.5381,0.4818,0.3427,0.7046,0.4678,0.5623,0.5397,0.35,0.0939,0.046,0.0579
Excavator,0.3505,0.75,0.4777,0.7146,0.5657,0.7904,0.6308,0.7017,0.7102,0.5089,0.6134,0.5833,0.598,0.6115,0.4423,-0.1031,-0.1234,-0.0987
Gloves,0.3374,0.28,0.306,0.2297,0.1276,0.3675,0.1867,0.2476,0.1865,0.0701,0.4875,0.24,0.3217,0.2563,0.121,0.0266,-0.0066,0.0698
Hardhat,0.7453,0.6203,0.6771,0.6804,0.4974,0.8327,0.6456,0.7273,0.7188,0.4864,0.862,0.7114,0.7795,0.7631,0.5333,0.0827,0.0359,0.0443
Ladder,0.3968,0.7,0.5065,0.616,0.4918,0.6496,0.6,0.6238,0.5922,0.4539,0.5594,0.6369,0.5957,0.6037,0.3842,-0.0123,-0.1076,0.0115
Mask,0.6845,0.7143,0.6991,0.7853,0.5044,1.0,0.7361,0.848,0.8425,0.5583,0.9367,0.8095,0.8685,0.8374,0.5255,0.0521,0.0211,-0.0051
NO-Hardhat,0.5572,0.5507,0.5539,0.5622,0.27,0.6082,0.4783,0.5354,0.4858,0.2318,0.755,0.4928,0.5963,0.5469,0.2707,-0.0153,0.0007,0.0611
NO-Mask,0.5266,0.3908,0.4486,0.3396,0.1283,0.4284,0.4459,0.437,0.3903,0.1063,0.6927,0.3919,0.5006,0.4218,0.14,0.0822,0.0117,0.0315
NO-Safety Vest,0.6438,0.5798,0.6101,0.6186,0.333,0.6551,0.4839,0.5566,0.5301,0.2744,0.7964,0.5165,0.6266,0.6026,0.3257,-0.016,-0.0073,0.0725
Person,0.7652,0.7067,0.7348,0.7733,0.5518,0.7943,0.6687,0.7261,0.7297,0.5099,0.8361,0.6761,0.7477,0.7752,0.5116,0.0019,-0.0402,0.0455
Safety Cone,0.66,0.794,0.7208,0.7468,0.3953,0.8195,0.7045,0.7577,0.7638,0.363,0.7504,0.7955,0.7723,0.8093,0.4453,0.0625,0.05,0.0455
Safety Vest,0.6138,0.6341,0.6238,0.6247,0.3708,0.7517,0.4878,0.5917,0.5715,0.3762,0.7774,0.6098,0.6834,0.7131,0.4331,0.0884,0.0623,0.1416
dump truck,0.3379,0.6923,0.4541,0.6317,0.5244,0.7289,0.4615,0.5652,0.5634,0.4978,0.5994,0.4615,0.5215,0.6114,0.3903,-0.0203,-0.1341,0.048
machinery,0.8267,0.125,0.2172,0.2961,0.203,1.0,0.3392,0.5065,0.6204,0.5156,0.7858,0.5,0.6111,0.5691,0.3855,0.273,0.1825,-0.0513
mini-van,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sedan,0.5148,0.2308,0.3187,0.2404,0.171,0.5956,0.1538,0.2445,0.1621,0.1296,1.0,0.1323,0.2337,0.2203,0.1435,-0.0201,-0.0275,0.0582
trailer,0.3097,0.6193,0.4129,0.4975,0.4477,0.6152,1.0,0.7618,0.995,0.995,0.4076,1.0,0.5791,0.995,0.8955,0.4975,0.4478,0.0
truck and trailer,0.1794,0.25,0.2089,0.1115,0.0636,0.2587,0.25,0.2543,0.2988,0.2385,0.2663,0.25,0.2579,0.1336,0.118,0.0221,0.0544,-0.1652
truck,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.555,0.2887,0.555,0.2887,0.555
van,0.3002,0.3333,0.3159,0.2146,0.1741,0.6557,0.3333,0.442,0.357,0.3526,0.6094,0.3333,0.431,0.555,0.3997,0.3404,0.2256,0.198
vehicle,0.2368,0.2222,0.2293,0.1687,0.1542,0.2218,0.1667,0.1903,0.1344,0.1257,0.3221,0.1667,0.2197,0.1986,0.1648,0.0299,0.0106,0.0642
wheel loader,0.6063,0.5,0.548,0.51,0.4091,0.9126,0.4091,0.5649,0.4659,0.4032,0.739,0.5155,0.6074,0.5542,0.4318,0.0442,0.0227,0.0883
