epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.888,1.33902,4.09185,1.41592,0.0002,0.04131,0.02589,0.01955,1.13053,4.25548,1.26079,0.000111515,0.000111515,0.000111515
2,304.955,1.32501,3.37111,1.36253,0.40909,0.08942,0.0953,0.07301,1.25444,3.66543,1.33145,0.000215303,0.000215303,0.000215303
3,473.709,1.3642,2.70837,1.36518,0.50632,0.1873,0.17835,0.11512,1.33868,2.7977,1.4008,0.000307705,0.000307705,0.000307705
4,799.663,1.33175,2.43412,1.34156,0.62369,0.22815,0.24851,0.14611,1.32321,2.33639,1.40063,0.000293768,0.000293768,0.000293768
5,1281.96,1.33706,2.27619,1.32382,0.65848,0.25933,0.2872,0.17815,1.32627,2.16555,1.36874,0.00027669,0.00027669,0.00027669
6,1468.41,1.29646,2.14043,1.3257,0.48881,0.30311,0.31363,0.19183,1.2976,2.10465,1.34949,0.000259612,0.000259612,0.000259612
7,1640.63,1.26527,2.0081,1.29555,0.49918,0.34459,0.34946,0.22039,1.27575,1.96581,1.34623,0.000242535,0.000242535,0.000242535
8,140.476,1.19982,1.93641,1.28401,0.58995,0.33645,0.36426,0.2312,1.27842,1.94128,1.35336,0.000225457,0.000225457,0.000225457
9,303.053,1.17674,1.8279,1.23493,0.62799,0.33136,0.36731,0.23499,1.25856,1.91539,1.33096,0.00020838,0.00020838,0.00020838
10,633.946,1.16431,1.73971,1.21006,0.58553,0.35095,0.37589,0.23878,1.25415,1.84357,1.33606,0.000191303,0.000191303,0.000191303
11,796.579,1.26432,2.10418,1.26728,0.69879,0.34228,0.3978,0.2412,1.29678,2.048,1.36634,0.000174225,0.000174225,0.000174225
12,970.605,1.21673,1.9734,1.25414,0.63985,0.36929,0.41162,0.25933,1.22528,1.8311,1.31529,0.000157147,0.000157147,0.000157147
13,2631.99,1.18612,1.95743,1.24131,0.58018,0.39471,0.40281,0.25367,1.21167,1.75851,1.31977,0.00014007,0.00014007,0.00014007
14,2792.69,1.17333,1.84122,1.21328,0.52906,0.39851,0.39366,0.25351,1.20717,1.71731,1.31098,0.000122992,0.000122992,0.000122992
15,2985.41,1.13762,1.7842,1.20753,0.60738,0.36335,0.40487,0.2624,1.20278,1.6811,1.2952,0.000105915,0.000105915,0.000105915
16,3186.41,1.12866,1.77883,1.18639,0.64778,0.35848,0.40889,0.27362,1.19786,1.66875,1.29315,8.88375e-05,8.88375e-05,8.88375e-05
17,3386.6,1.09784,1.74288,1.18128,0.64099,0.37756,0.43778,0.29578,1.19147,1.62171,1.28911,7.176e-05,7.176e-05,7.176e-05
18,3592.48,1.08748,1.70731,1.17416,0.48678,0.44154,0.43451,0.29857,1.1844,1.63904,1.28501,5.46825e-05,5.46825e-05,5.46825e-05
19,3889.82,1.09693,1.70602,1.18399,0.51141,0.44539,0.4441,0.30265,1.18498,1.61818,1.28232,3.7605e-05,3.7605e-05,3.7605e-05
20,4085.59,1.08577,1.68513,1.15695,0.50337,0.46035,0.4467,0.30448,1.18066,1.6078,1.28105,2.05275e-05,2.05275e-05,2.05275e-05
