epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.285,1.61144,4.17848,1.60081,0.00019,0.03987,0.02476,0.01437,1.39174,4.37723,1.43063,0.000111515,0.000111515,0.000111515
2,337.836,1.55374,3.47676,1.50146,0.23633,0.12599,0.08389,0.04809,1.48572,3.85629,1.493,0.000215303,0.000215303,0.000215303
3,503.369,1.57806,2.80592,1.49553,0.49374,0.16804,0.17401,0.08645,1.71911,2.9092,1.68497,0.000307705,0.000307705,0.000307705
4,665.661,1.56649,2.60339,1.49565,0.65482,0.24583,0.23289,0.12174,1.62371,2.46195,1.55674,0.000293768,0.000293768,0.000293768
5,827.86,1.5531,2.44745,1.4484,0.38832,0.30343,0.26647,0.137,1.59706,2.26926,1.51835,0.00027669,0.00027669,0.00027669
6,992.615,1.53427,2.31014,1.47005,0.48167,0.31209,0.28564,0.15547,1.58491,2.19598,1.49777,0.000259612,0.000259612,0.000259612
7,1155.7,1.5113,2.21762,1.43502,0.59757,0.30063,0.32167,0.17514,1.56361,2.09275,1.49927,0.000242535,0.000242535,0.000242535
8,1319.41,1.50578,2.07976,1.41564,0.67091,0.31215,0.34536,0.19002,1.56123,2.01957,1.48788,0.000225457,0.000225457,0.000225457
9,1485.73,1.47551,2.03911,1.39344,0.53042,0.3529,0.33991,0.18195,1.55515,2.02668,1.48477,0.00020838,0.00020838,0.00020838
10,1649.66,1.46528,1.97921,1.40097,0.59855,0.33788,0.35956,0.18431,1.60529,1.95045,1.50688,0.000191303,0.000191303,0.000191303
11,1807.75,1.45866,2.3644,1.45238,0.628,0.32798,0.35621,0.18911,1.58973,2.07489,1.52119,0.000174225,0.000174225,0.000174225
12,1968.74,1.42067,2.22654,1.43398,0.59783,0.32644,0.3613,0.19314,1.59224,1.95292,1.51589,0.000157147,0.000157147,0.000157147
13,2129.69,1.39926,2.14074,1.40457,0.67282,0.3345,0.3794,0.20877,1.53582,1.89248,1.46315,0.00014007,0.00014007,0.00014007
14,2289.26,1.37548,2.07157,1.37806,0.70062,0.33255,0.39619,0.22947,1.51192,1.86281,1.45274,0.000122992,0.000122992,0.000122992
15,2452.36,1.38275,2.04065,1.38044,0.72441,0.31476,0.3998,0.22384,1.53262,1.84082,1.46678,0.000105915,0.000105915,0.000105915
16,2659.75,1.36514,2.02064,1.36724,0.64588,0.36064,0.40191,0.21416,1.59718,1.84801,1.49922,8.88375e-05,8.88375e-05,8.88375e-05
17,2859.64,1.35406,1.9742,1.35968,0.71727,0.35543,0.40166,0.2225,1.51518,1.76897,1.43756,7.176e-05,7.176e-05,7.176e-05
18,3017.96,1.37032,1.98481,1.35539,0.64514,0.3571,0.40793,0.22552,1.53168,1.79313,1.45688,5.46825e-05,5.46825e-05,5.46825e-05
19,3179.07,1.33991,1.96061,1.36623,0.65379,0.36142,0.42346,0.23453,1.5518,1.77762,1.45987,3.7605e-05,3.7605e-05,3.7605e-05
20,3335.66,1.32743,1.91779,1.34575,0.6516,0.3609,0.46118,0.26855,1.52865,1.76446,1.44608,2.05275e-05,2.05275e-05,2.05275e-05
